name,City,Country,Latitude,Longitude,awardYear,category,motivation,prizeAmount,birthYear,birthMonth,birthDay
Ernest Thomas Sinton Walton,Dungarvan,Ireland,52.0845,-7.639694,1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,167612,1903,10,6
Ernesto Teodoro Moneta,Milan,Austrian Empire,45.460249,9.181687,1907,Peace,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",138796,1833,9,20
Ernst Boris Chain,Berlin,Germany,52.522265,13.406852,1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,121333,1906,6,19
Ernst Otto Fischer,Munich,Germany,48.134703,11.581995,1973,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",510000,1918,11,10
Ernst Ruska,Heidelberg,Germany,49.39922,8.680522,1986,Physics,"for his fundamental work in electron optics, and for the design of the first electron microscope",2000000,1906,12,25
Erwin Neher,Landsberg,Germany,48.051498,10.873773,1991,Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells,6000000,1944,3,20
Erwin Schrödinger,Vienna,Austria,48.207646,16.372793,1933,Physics,for the discovery of new productive forms of atomic theory,170332,1887,8,12
Esther Duflo,Paris,France,48.860093,2.355954,2019,Economic Sciences,for their experimental approach to alleviating global poverty,9000000,1972,10,25
Eugene F. Fama,"Boston, MA",USA,42.36042,-71.05681,2013,Economic Sciences,for their empirical analysis of asset prices,8000000,1939,2,14
Eugene Gladstone O'Neill,"New York, NY",USA,40.715758,-74.0113,1936,Literature,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",159850,1888,10,16
Eugene Paul Wigner,Budapest,Austria-Hungary,47.497799,19.038285,1963,Physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",265000,1902,11,17
Eugenio Montale,Genoa,Italy,44.405804,8.948925,1975,Literature,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",630000,1896,10,12
Eyvind Johnson,Svartbjörnsbyn,Sweden,58.653334666666666,15.68996325925926,1974,Literature,"for a narrative art, far-seeing in lands and ages, in the service of freedom",550000,1900,7,29
F. Duncan M. Haldane,London,United Kingdom,51.510235,-0.120852,2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,8000000,1951,9,14
F. Sherwood Rowland,"Delaware, OH",USA,40.298889,-83.071944,1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",7200000,1927,6,28
Frederik Willem de Klerk,Johannesburg,South Africa,-26.205387,28.045515,1993,Peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",6700000,1936,3,18
Felix Bloch,Zurich,Switzerland,47.376909,8.541697,1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,171135,1905,10,23
Feodor Lynen,Munich,Germany,48.134703,11.581995,1964,Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,273000,1911,4,6
Karl Ferdinand Braun,Fulda,Hesse-Kassel,50.55589,9.68009,1909,Physics,in recognition of their contributions to the development of wireless telegraphy,139800,1850,6,6
Ferdinand Buisson,Paris,France,48.860093,2.355954,1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,126501,1841,12,20
Ferenc Krausz,Mór,Hungary,47.371667,18.208611,2023,Physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,11000000,1962,5,17
Ferid Murad,"Whiting, IN",USA,41.676111,-87.490611,1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,7600000,1936,9,14
Finn E. Kydland,Gjesdal,Norway,58.781939,6.008611,2004,Economic Sciences,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,10000000,1943,12,1
Frances H. Arnold,"Pittsburgh, PA",USA,40.440136,-80.008661,2018,Chemistry,for the directed evolution of enzymes,9000000,1956,7,25
Francis Harry Compton Crick,Northampton,United Kingdom,52.233333,-0.9,1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,257220,1916,6,8
Francis William Aston,Harborne,United Kingdom,52.45,-1.97,1922,Chemistry,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",122483,1877,9,1
Franco Modigliani,Rome,Italy,41.902288,12.506464,1985,Economic Sciences,for his pioneering analyses of saving and of financial markets,1800000,1918,6,18
François Englert,Etterbeek,Belgium,50.836143,4.386174,2013,Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",8000000,1932,11,6
François Jacob,Nancy,France,48.691336,6.185111,1965,Physiology or Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,282000,1920,6,17
François Mauriac,Bordeaux,France,44.837778,-0.579444,1952,Literature,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,171135,1885,10,11
Françoise Barré-Sinoussi,Paris,France,48.860093,2.355954,2008,Physiology or Medicine,for their discovery of human immunodeficiency virus,10000000,1947,7,30
Frank Billings Kellogg,"Potsdam, NY",USA,44.669722,-74.981111,1929,Peace,for his crucial role in bringing about the Briand-Kellogg Pact,172760,1856,12,22
Frank Wilczek,"New York, NY",USA,40.715758,-74.0113,2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,10000000,1951,5,15
Frans Eemil Sillanpää,Hämeenkyrö,Russian Empire,61.633333,23.2,1939,Literature,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,148822,1888,9,16
Frédéric Joliot,Paris,France,48.860093,2.355954,1935,Chemistry,in recognition of their synthesis of new radioactive elements,159917,1900,3,19
Frédéric Mistral,Maillane,France,43.832523,4.782511,1904,Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",140859,1830,9,8
Frédéric Passy,Paris,France,48.860093,2.355954,1901,Peace,"for his lifelong work for international peace conferences, diplomacy and arbitration",150782,1822,5,20
Frederick Chapman Robbins,"Auburn, AL",USA,32.597778,-85.480833,1954,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,181647,1916,8,25
Frederick Grant Banting,Alliston,Canada,44.153947,-79.869022,1923,Physiology or Medicine,for the discovery of insulin,114935,1891,11,14
Frederick Reines,"Paterson, NJ",USA,40.915556,-74.163056,1995,Physics,for the detection of the neutrino,7200000,1918,3,16
Frederick Sanger,Rendcombe,United Kingdom,51.785,-1.975,1980,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids,880000,1918,8,13
Frederick Soddy,Eastbourne,United Kingdom,50.766389,0.286111,1921,Chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",121573,1877,9,2
Fredrik Bajer,Næstved,Denmark,55.233333,11.766667,1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,1837,4,21
Fridtjof Nansen,Kristiania,Norway,59.917165,10.750092,1922,Peace,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",122483,1861,10,10
Friedrich Bergius,"Goldschmieden, near Breslau",Germany,50.90027376623377,11.135752545454546,1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods,173206,1884,10,11
Friedrich August von Hayek,Vienna,Austria,48.207646,16.372793,1974,Economic Sciences,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",550000,1899,5,8
Frits Zernike,Amsterdam,the Netherlands,52.36942,4.907108,1953,Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",175293,1888,7,16
Fritz Haber,Breslau,Prussia,51.11,17.0325,1918,Chemistry,for the synthesis of ammonia from its elements,138198,1868,12,9
Fritz Albert Lipmann,Koenigsberg,Germany,54.716667,20.5,1953,Physiology or Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism,175293,1899,6,12
Fritz Pregl,Laibach,Austria-Hungary,46.051389,14.506111,1923,Chemistry,for his invention of the method of micro-analysis of organic substances,114935,1869,9,3
Gabriel García Márquez,Aracataca,Colombia,10.591111,-74.185,1982,Literature,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",1150000,1927,3,6
Gabriel Lippmann,Hollerich,Luxembourg,49.604222,6.11188,1908,Physics,for his method of reproducing colours photographically based on the phenomenon of interference,139800,1845,8,16
Gabriela Mistral,Vicuña,Chile,-30.032743,-70.708048,1945,Literature,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",121333,1889,4,7
Gao Xingjian,Ganzhou,China,25.828921,114.933844,2000,Literature,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",9000000,1940,1,4
Gary S. Becker,"Pottsville, PA",USA,40.685,-76.203056,1992,Economic Sciences,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",6500000,1930,12,2
Geoffrey Wilkinson,Todmorden,United Kingdom,53.713056,-2.096111,1973,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",510000,1921,7,14
Georg von Békésy,Budapest,Hungary,47.497799,19.038285,1961,Physiology or Medicine,for his discoveries of the physical mechanism of stimulation within the cochlea,250233,1899,6,3
Georg Wittig,Berlin,Germany,52.522265,13.406852,1979,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",800000,1897,6,16
George A. Akerlof,"New Haven, CT",USA,41.307802,-72.932531,2001,Economic Sciences,for their analyses of markets with asymmetric information,10000000,1940,6,17
George A. Olah,Budapest,Hungary,47.497799,19.038285,1994,Chemistry,for his contribution to carbocation chemistry,7000000,1927,5,22
George Wells Beadle,"Wahoo, NE",USA,41.211111,-96.619806,1958,Physiology or Medicine,for their discovery that genes act by regulating definite chemical events,214559,1903,10,22
George Bernard Shaw,Dublin,Ireland,53.351676,-6.261504,1925,Literature,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",118165,1856,7,26
George Catlett Marshall,"Uniontown, PA",USA,39.9,-79.724444,1953,Peace,for proposing and supervising the plan for the economic recovery of Europe,175293,1880,12,31
George D. Snell,"Bradford, MA",USA,42.769444,-71.075833,1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,880000,1903,12,19
George de Hevesy,Budapest,Austria-Hungary,47.497799,19.038285,1943,Chemistry,for his work on the use of isotopes as tracers in the study of chemical processes,123691,1885,8,1
George E. Palade,Iasi,Romania,47.156108,27.601732,1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,550000,1912,11,19
George E. Smith,"White Plains, NY",USA,41.033985,-73.762909,2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,10000000,1930,5,10
George F. Smoot,"Yukon, FL",USA,30.234684,-81.698151,2006,Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,10000000,1945,2,20
George H. Hitchings,"Hoquiam, WA",USA,46.980278,-123.885556,1988,Physiology or Medicine,for their discoveries of important principles for drug treatment,2500000,1905,4,18
George Hoyt Whipple,"Ashland, NH",USA,43.695271,-71.63074,1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia,162608,1878,8,28
George J. Stigler,"Renton, WA",USA,47.479917,-122.203444,1982,Economic Sciences,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",1150000,1911,1,17
George P. Smith,"Norwalk, CT",USA,41.117596,-73.407898,2018,Chemistry,for the phage display of peptides and antibodies,9000000,1941,3,10
George Paget Thomson,Cambridge,United Kingdom,52.194605,0.135092,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,158463,1892,5,3
George Porter,Stainforth,United Kingdom,53.595833,-1.025278,1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",320000,1920,12,6
George Richards Minot,"Boston, MA",USA,42.36042,-71.05681,1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia,162608,1885,12,2
George Wald,"New York, NY",USA,40.715758,-74.0113,1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye,320000,1906,11,18
Georges Charpak,Dabrovica,Poland,51.273176,22.459883,1992,Physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",6500000,1924,8,1
Georges J.F. Köhler,Munich,Germany,48.134703,11.581995,1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1650000,1946,4,17
Georges Pire,Dinant,Belgium,50.879204,4.701168,1958,Peace,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,214559,1910,2,10
Gerald M. Edelman,"New York, NY",USA,40.715758,-74.0113,1972,Physiology or Medicine,for their discoveries concerning the chemical structure of antibodies,480000,1929,7,1
Gerard Debreu,Calais,France,50.951555,1.85851,1983,Economic Sciences,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,1500000,1921,7,4
Gérard Mourou,Albertville,France,45.675833,6.3925,2018,Physics,"for their method of generating high-intensity, ultra-short optical pulses",9000000,1944,6,22
Gerardus 't Hooft,Den Helder,the Netherlands,52.957977,4.760279,1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,7900000,1946,7,5
Gerd Binnig,Frankfurt-on-the-Main,West Germany,50.107886,8.691488,1986,Physics,for their design of the scanning tunneling microscope,2000000,1947,7,20
Gerhard Domagk,Lagow,Germany,52.334306,15.292694,1939,Physiology or Medicine,for the discovery of the antibacterial effects of prontosil,148822,1895,10,30
Gerhard Ertl,Bad Cannstatt,Germany,48.827297,9.217003,2007,Chemistry,for his studies of chemical processes on solid surfaces,10000000,1936,10,10
Gerhard Herzberg,Hamburg,Germany,53.548276,9.987422,1971,Chemistry,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",450000,1904,12,25
Gerhart Johann Robert Hauptmann,Bad Salzbrunn,Prussia,50.803519,16.25655,1912,Literature,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",140476,1862,11,15
Gertrude B. Elion,"New York, NY",USA,40.715758,-74.0113,1988,Physiology or Medicine,for their discoveries of important principles for drug treatment,2500000,1918,1,23
"Gerty Theresa Cori, née Radnitz",Prague,Austria-Hungary,50.07507,14.42989,1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen,146115,1896,8,15
Giorgio Parisi,Rome,Italy,41.902288,12.506464,2021,Physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,10000000,1948,8,4
Giorgos Seferis,Smyrna,Ottoman Empire,38.4,27.166667,1963,Literature,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",265000,1900,3,13
Giosuè Carducci,Val di Castello,Tuscany,44.49382,11.342633,1906,Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",138536,1835,7,27
Giulio Natta,Imperia,Italy,43.886467,8.029653,1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,265000,1903,2,26
Glenn Theodore Seaborg,"Ishpeming, MI",USA,46.488611,-87.6675,1951,Chemistry,for their discoveries in the chemistry of the transuranium elements,167612,1912,4,19
Godfrey N. Hounsfield,Newark,United Kingdom,53.0765,-0.81,1979,Physiology or Medicine,for the development of computer assisted tomography,800000,1919,8,28
Grazia Deledda,"Nuoro, Sardinia",Italy,40.32035,9.326072,1926,Literature,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,116960,1871,9,27
Gregg L. Semenza,"New York, NY",USA,40.715758,-74.0113,2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability,9000000,1956,7,12
Guglielmo Marconi,Bologna,Italy,44.493889,11.342778,1909,Physics,in recognition of their contributions to the development of wireless telegraphy,139800,1874,4,25
Guido W. Imbens,Geldrop,the Netherlands,52.151782777777775,5.028910611111112,2021,Economic Sciences,for their methodological contributions to the analysis of causal relationships,10000000,1963,9,3
Gunnar Myrdal,Skattungbyn,Sweden,61.184779,14.851104,1974,Economic Sciences,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",550000,1898,12,6
Günter Blobel,Waltersdorf,Germany,51.588056,15.713056,1999,Physiology or Medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,7900000,1936,5,21
Günter Grass,Danzig,Free City of Danzig,54.352172,18.644016,1999,Literature,whose frolicsome black fables portray the forgotten face of history,7900000,1927,10,16
Nils Gustaf Dalén,Stenstorp,Sweden,58.272744,13.717164,1912,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,140476,1869,11,30
Gustav Ludwig Hertz,Hamburg,Germany,53.548276,9.987422,1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom,118165,1887,7,22
Gustav Stresemann,Berlin,Germany,52.522265,13.406852,1926,Peace,for their crucial role in bringing about the Locarno Treaty,116960,1878,5,10
H. David Politzer,"New York, NY",USA,40.715758,-74.0113,2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,10000000,1949,8,31
Har Gobind Khorana,Raipur,India,21.251788,81.629678,1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis,350000,1922,1,9
H. Robert Horvitz,"Chicago, IL",USA,41.876228,-87.638416,2002,Physiology or Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',10000000,1947,5,8
Halldór Kiljan Laxness,Reykjavik,Iceland,64.145844,-21.9436,1955,Literature,for his vivid epic power which has renewed the great narrative art of Iceland,190214,1902,4,23
Hamilton O. Smith,"New York, NY",USA,40.715758,-74.0113,1978,Physiology or Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics,725000,1931,8,23
Hannes Olof Gösta Alfvén,Norrköping,Sweden,58.588471,16.197026,1970,Physics,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,400000,1908,5,30
Hans Albrecht Bethe,Strasbourg,Germany,48.573361,7.752464,1967,Physics,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",320000,1906,7,2
Hans Fischer,Hoechst,Germany,50.098889,8.546667,1930,Chemistry,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,172947,1881,7,27
Hans G. Dehmelt,Görlitz,Prussia,51.152503,14.968883,1989,Physics,for the development of the ion trap technique,3000000,1922,9,9
Hans Adolf Krebs,Hildesheim,Germany,52.156017,9.956681,1953,Physiology or Medicine,for his discovery of the citric acid cycle,175293,1900,8,25
Hans Spemann,Stuttgart,Württemberg,48.775924,9.182014,1935,Physiology or Medicine,for his discovery of the organizer effect in embryonic development,159917,1869,6,27
Hans Karl August Simon von Euler-Chelpin,Augsburg,Germany,48.370459,10.898174,1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes,172760,1873,2,15
Harald zur Hausen,Gelsenkirchen,Germany,51.516667,7.1,2008,Physiology or Medicine,for his discovery of human papilloma viruses causing cervical cancer,10000000,1936,3,11
Harold Clayton Urey,"Walkerton, IN",USA,41.463889,-86.484389,1934,Chemistry,for his discovery of heavy hydrogen,162608,1893,4,29
Harold E. Varmus,"Oceanside, NY",USA,40.638714,-73.640129,1989,Physiology or Medicine,for their discovery of the cellular origin of retroviral oncogenes,3000000,1939,12,18
Harold Pinter,London,United Kingdom,51.510235,-0.120852,2005,Literature,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,10000000,1930,10,10
Harry M. Markowitz,"Chicago, IL",USA,41.876228,-87.638416,1990,Economic Sciences,for their pioneering work in the theory of financial economics,4000000,1927,8,24
Harry Martinson,Jämshög,Sweden,56.241128,14.534071,1974,Literature,for writings that catch the dewdrop and reflect the cosmos,550000,1904,5,6
Hartmut Michel,Ludwigsburg,West Germany,48.895393,9.189515,1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,2500000,1948,7,18
Harvey J. Alter,"New York, NY",USA,40.715758,-74.0113,2020,Physiology or Medicine,for the discovery of Hepatitis C virus,10000000,1935,9,12
Heike Kamerlingh Onnes,Groningen,the Netherlands,53.218593,6.566722,1913,Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",143010,1853,9,21
Heinrich Böll,Cologne,Germany,50.938552,6.957702,1972,Literature,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,480000,1917,12,21
Heinrich Rohrer,Buchs,Switzerland,47.195724,8.719459,1986,Physics,for their design of the scanning tunneling microscope,2000000,1933,6,6
Heinrich Otto Wieland,Pforzheim,Germany,48.895,8.705,1927,Chemistry,for his investigations of the constitution of the bile acids and related substances,126501,1877,6,4
Hendrik Antoon Lorentz,Arnhem,the Netherlands,51.984257,5.910857,1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,141847,1853,7,18
Antoine Henri Becquerel,Paris,France,48.860093,2.355954,1903,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,141358,1852,12,15
Henri Bergson,Paris,France,48.860093,2.355954,1927,Literature,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,126501,1859,10,18
Henri La Fontaine,Brussels,Belgium,50.849243,4.354815,1913,Peace,for his unparalleled contribution to the organization of peaceful internationalism,143010,1854,4,22
Henri Moissan,Paris,France,48.860093,2.355954,1906,Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",138536,1852,9,28
Henrik Carl Peter Dam,Copenhagen,Denmark,55.678127,12.572532,1943,Physiology or Medicine,for his discovery of vitamin K,123691,1895,2,21
Henrik Pontoppidan,Fredericia,Denmark,55.564444,9.759722,1917,Literature,for his authentic descriptions of present-day life in Denmark,133823,1857,7,24
Jean Henry Dunant,Geneva,Switzerland,46.203397,6.145957,1901,Peace,for his humanitarian efforts to help wounded soldiers and create international understanding,150782,1828,5,8
Henry Alfred Kissinger,Fürth,Germany,49.478085,10.988187,1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973,510000,1923,5,27
Henry Taube,Neudorf,Canada,50.709694,-103.014,1983,Chemistry,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",1500000,1915,11,30
Henry W. Kendall,"Boston, MA",USA,42.36042,-71.05681,1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",4000000,1926,12,9
Henryk Sienkiewicz,Wola Okrzejska,Poland,51.749447,22.133632,1905,Literature,because of his outstanding merits as an epic writer,138089,1846,5,5
Herbert A. Hauptman,"New York, NY",USA,40.715758,-74.0113,1985,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures,1800000,1917,2,14
Herbert C. Brown,London,United Kingdom,51.510235,-0.120852,1979,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",800000,1912,5,22
Herbert Kroemer,Weimar,Germany,50.981111,11.329444,2000,Physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,9000000,1928,8,25
Herbert Spencer Gasser,"Platteville, WI",USA,42.736944,-90.4775,1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres,121841,1888,7,5
Herbert A. Simon,"Milwaukee, WI",USA,43.05,-87.95,1978,Economic Sciences,for his pioneering research into the decision-making process within economic organizations,725000,1916,6,15
Hermann Hesse,Calw,Germany,48.713654,8.74321,1946,Literature,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",121524,1877,7,2
Hermann Joseph Muller,"New York, NY",USA,40.715758,-74.0113,1946,Physiology or Medicine,for the discovery of the production of mutations by means of X-ray irradiation,121524,1890,12,21
Hermann Staudinger,Worms,Germany,49.631944,8.365278,1953,Chemistry,for his discoveries in the field of macromolecular chemistry,175293,1881,3,23
Herta Müller,"Nitzkydorf, Banat",Romania,45.578641,21.536293,2009,Literature,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",10000000,1953,8,17
Hideki Shirakawa,Tokyo,Japan,35.680183,139.769373,2000,Chemistry,for the discovery and development of conductive polymers,9000000,1936,8,20
Hideki Yukawa,Tokyo,Japan,35.680183,139.769373,1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,156290,1907,1,23
Hiroshi Amano,Hamamatsu,Japan,34.710979,137.725937,2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,8000000,1960,9,11
Karl Hjalmar Branting,Stockholm,Sweden,59.325371,18.070794,1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism,121573,1860,11,23
Horst L. Störmer,Frankfurt-on-the-Main,West Germany,50.107886,8.691488,1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,7600000,1949,4,6
Howard Martin Temin,"Philadelphia, PA",USA,39.957132,-75.174342,1975,Physiology or Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,630000,1934,12,10
Axel Hugo Theodor Theorell,Linköping,Sweden,58.409418,15.625656,1955,Physiology or Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes,190214,1903,7,6
Igor Yevgenyevich Tamm,Vladivostok,Russia,43.116667,131.9,1958,Physics,for the discovery and the interpretation of the Cherenkov effect,214559,1895,7,8
Il´ja Mikhailovich Frank,Leningrad,Russia,59.956651,30.333547,1958,Physics,for the discovery and the interpretation of the Cherenkov effect,214559,1908,10,23
Ilya Ilyich Mechnikov,Kharkov,Russian Empire,49.9925,36.231111,1908,Physiology or Medicine,in recognition of their work on immunity,139800,1845,5,15
Ilya Romanovich Prigogine,Moscow,Russia,55.741387,37.618892,1977,Chemistry,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",700000,1917,1,25
Imre Kertész,Budapest,Hungary,47.497799,19.038285,2002,Literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,10000000,1929,11,9
Irène Joliot-Curie,Paris,France,48.860093,2.355954,1935,Chemistry,in recognition of their synthesis of new radioactive elements,159917,1897,9,12
Irving Langmuir,"Brooklyn, NY",USA,40.676379,-73.949819,1932,Chemistry,for his discoveries and investigations in surface chemistry,171753,1881,1,31
Irwin Rose,"Brooklyn, NY",USA,40.676379,-73.949819,2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,10000000,1926,7,16
Isaac Bashevis Singer,Leoncin,Russian Empire,52.393567,20.533848,1978,Literature,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",725000,1904,7,14
Isamu Akasaki,Chiran,Japan,31.37825,130.441611,2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,8000000,1929,1,30
Isidor Isaac Rabi,Rymanow,Austria-Hungary,49.576432,21.867743,1944,Physics,for his resonance method for recording the magnetic properties of atomic nuclei,121841,1898,7,29
Ivan Alekseyevich Bunin,Voronezh,Russia,51.664796,39.195239,1933,Literature,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,170332,1870,10,22
Ivan Petrovich Pavlov,Ryazan,Russia,54.613102,39.704829,1904,Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",140859,1849,9,14
